upcx,title_hd,title_wm,title_eb,price_hd,price_wm,price_eb,cheapest,pct_cheapest,dollars_cheapest
x085267276603,Honeywell Manual Electric Baseboard Thermostat,Honeywell Thermostats Manual Electric Baseboard Thermostat Whites CT410B,"Honeywell White Double, Single 22A at 120V-240V Electric Baseboard Heater Thermo",21.98,17.57,38.98,Walmart,0.7993630573248408,4.41
x0053796102700,RSVP International Endurance Stainless Steel Food Mill,RSVP Soft Cooked Egg Topper Boiled Stainless Steel Cutter Scissors Clipper New,Stainless Steel SOFT BOILED EGG EASY TOPPER Cutter Capper - Cup Not Included,39.99,5.95,20.76,Walmart,0.2866088631984586,14.810000000000002
x052427610010,Gorilla 1 in. x 10 yds. Handy Roll Tape,"2 Pack - Gorilla Glue Duct Tape To-Go, Black 1 ea",0,2.97,11.19,0,HomeDepot,0.26541554959785524,8.219999999999999
x027426634879,0,"Minwax Wood Finish Stain Marker, 1/3 oz Dark Walnut","Minwax Wood Finish Stain Marker, 2716 Dark Walnut 1/3 Fl Oz East Touch Ups",0,4.24,15.11,HomeDepot,0.28060886829913967,10.87
x026715107506,0,Broan BP58 Non-Ducted Charcoal Filter for 43000 Series Range Hoods (Package of 8,Charcoal Filter Pad Broan Nutone BP58 for Non Ducted Range Hood 3 pack,0,18.22,12.64,Walmart,0.6937431394072449,5.579999999999998
x0082677242310,0,0,Frozen Drink Machine Smoothie Margarita Slush Maker Shaved Ice Slushie Beverage,0,0,84.36,HomeDepot,0,-84.36
x072397008501,AcuRite 5 in. Magnifying Rain Gauge,AcuRite 00850A2 5-Inch Capacity Easy-Read Magnifying Rain Gauge,Rain Gauge Rainwater Catch Magnifying Measurement Rainfall,2.98,8.10,9.7,HomeDepot,0.36790123456790125,5.119999999999999
x0665679016969,Magic Chef Compact 1.5 cu. ft. Electric Dryer in White,Magic Chef 1.5 Cu. Ft. Compact Electric Dryer in White,Magic Chef MCSDRY15W Small Portable Compact Electric Dryer 1.5 cu.ft 120Volt,183.65,249.68,248.69,HomeDepot,0.7384695806023563,65.03999999999999
x0854443007825,Emerald 5.2L Manual Air Fryer,"Emerald Air Fryer 1800 Watts with Rapid Air Technology, Slide Out Pan, & Detachable Basket 5.2L Capacity (1805)",NEW- 5.8qt Manual Air Fryer with 1800 Watts Of Power (1805),62.13,60.32,73.43,Walmart,0.970867535812007,1.8100000000000023
x0759501114913,Paslode Cordless CF325XP Lithium-Ion 30° Framing Nailer,"Paslode 905600 Angled Cordless Framing Nailer, Li-Ion",Paslode - 905600 Cordless CF325XP Lithium-Ion 30° Framing Nailer,399.00,417.33,355.09,Ebay,0.8899498746867167,43.910000000000025
x0883049361161,Whirlpool EveryDrop Ice and Refrigerator Water Filter,EveryDrop Ice and Water Filter #3 OEM Replacement New Package with Security Hologram,EveryDrop Whirlpool 4396841 4396710 EDR3RXD1 FILTER3 46-9030 Water Filter,49.99,24.99,58.55,Walmart,0.49989997999599917,25.000000000000004
x0872076010081,"Dyna-Glo 6,000 BTU Vent Free Infrared Liquid Propane Wall Heater","Dyna-Glo 6,000 BTU Liquid Propane Infrared Vent Free Wall Heater","Dyna-Glo IR6PMDG-1 Liquid Propane Infrared Vent Free Heater, 6,000 BTU, Lot of 1",119.30,128.99,133.24,HomeDepot,0.9248778975114349,9.690000000000012
x0811490011304,Jonard Telecom Installer's Kit Set (5-Piece),Jonard Tools® Telecom Installer's Kit 5 pc. Box,"Communications Tool Kit,No. of Pcs. 5 JONARD TOOLS TK-50",36.66,43.38,44.8,HomeDepot,0.8450899031811894,6.720000000000006
x081492847021,0,Sinkworks Suction Sink Center Sponge Holder,Kitchen Sink Caddy Sponge Brush Holder Stainless Steel Hanging Basket Accessory,0,10.42,12.03,HomeDepot,0.8661679135494598,1.6099999999999994
x0636644511321,New Atrend 12 in. Woofer Spacer,"Atrend S12 Woofer Spacer (12"")","ATREND S12 Woofer Spacer (12"")",9.23,9.55,13.46,HomeDepot,0.9664921465968586,0.3200000000000003
x037000018711,0,"Tide To Go Instant Stain Remover, 3 Count","Tide To Go Instant Stain Remover Pen, 3 ea",0,6.99,27.48,HomeDepot,0.25436681222707425,20.490000000000002
x091511600360,OLFA UltraMax Heavy-Duty Blades (10-Pack),Olfa Black UltraSharp Snap-off Heavy-Duty Blades 18mm 10-Pack,"Snap-off Utility Blade, W, PK10 OLFA 9070",7.97,9.63,11.76,HomeDepot,0.8276220145379023,1.660000000000001
x0044387677240,DeLonghi Perfecto Healthy Indoor Grill with Tempered Glass Lid,0,DeLonghi Indoor Grill Healthy Die-Cast Cool Touch Handles Removable Non Slip,47.99,0,65.35,HomeDepot,0.7343534812547821,17.359999999999992
x0886511807129,Stalwart 1 Gal. Storage Box in Metallic,"Stalwart Metal Storage Lock Box with Lock Hasp, 75-005 Silver",Metal Lock Box with Folding Handle and Stackable Design- Durable Portable Loc...,10.71,10.71,13.98,HomeDepot,1.0,0.0
x0810841012151,0,Neato Robotics 945-0235 Botvac Wi-Fi Connected D3 Robot Vacuum Cleaner,"Neato 945-0235 Botvac D3 Connected Robot Vacuum with LaserSmart Navigation, Gray",0,269.99,251.9,Walmart,0.9329975184266084,18.090000000000003
x0084691170600,0,GE Appliances Single Stage Under Sink Water Filtration System,GE Single Stage Drinking Water Filtration System GX1S50R New in Box,0,115.09,62.67,Walmart,0.5445303675384482,52.42
x0885911236461,BLACK+DECKER 20-Volt MAX Lithium-Ion Battery Pack 1.5Ah,"BLACK+DECKER 20-Volt MAX* Lithium-Ion Battery, LBXR20",For Black Decker 20V Max 4.0Ah Lithium Ion Battery LB2X4020-OPE LBXR20 LBX20 New,30.82,44.88,39.53,HomeDepot,0.7796610169491526,8.71
x0643307991796,Boytone BT-428F 2.1 Wireless Bluetooth 50-Watt Speakers,Boytone BT428F Piano Finish Bluetooth Multimedia Speaker System,Boytone 2.1 Speakers Home Theater Audio System Wireless Bluetooth FM Radio USB,66.60,67.99,82.75,HomeDepot,0.9795558170319164,1.3900000000000006
x0013803286700,Emser Cosmopolitan Steel 13.03 in. x 13.03 in. x 7 mm Porcelain Mesh-Mounted Mosaic Tile,Canon EOS M6 Mirrorless Digital Camera with 15-45mm Lens - Black,Canon EOS M6 Mirrorless Digital Camera with 15-45mm EF-M IS STM Lens Black,21.42,699.00,665.82,HomeDepot,0.032170856988375233,644.4000000000001
x00725113912506,Superior Pump 1/4 HP Submersible Thermoplastic Utility Pump,Superior Pump 1/4 HP Utility Pump,UTILITY PUMP 1/4 HP Thermoplastic Submersible Drain Swimming Pool Water Transfer,49.33,64.99,60.86,HomeDepot,0.8105488005257969,11.530000000000001
x0760582063342,Lucky Dog 34 ft. x 57 in. Windscreen/Shade Cloth,0,0,73.08,0,0,HomeDepot,0,-73.08
x0783164324266,GE 70 Amp 2-Space 2-Circuit 240-Volt Unmetered RV Outlet Box with 50 Amp and 20 Amp GCFI Circuit Protected Receptacles,POWER PANEL RV 70A 50/20A GFCI,0,95.00,114.31,0,HomeDepot,0.8310733969031581,19.310000000000002
x0647096521127,Kreg Precision Miter Gauge System,Kreg KMS7102 Precision Miter Gauge System,Kreg KMS7102 Table Saw Precision Miter Gauge System Tool,149.00,149.00,173.09,HomeDepot,1.0,0.0
x0748091000812,"Motorola Talkabout T200 Rechargeable 2-Way Radio, Gray (2-Pack)","Motorola T200 Talkabout Radio, 2-Pack",Motorola Talkabout T200TP Walkie Talkie 3 Pack Set 20 Mile Two Way Radio,45.75,37.77,87.82,Walmart,0.8255737704918034,7.979999999999997
x075919000908,0,DampRid Easy Fill System Large Room Moisture Absorber,Air Moisture Absorber Cleaner Dehumidifier For Basement Bathroom House Room Damp,0,8.44,18.86,HomeDepot,0.44750795334040294,10.42
x0849928015686,Ottomanson Black 15 in. x 30 in. Polypropylene Utility Boot Tray,"Ottomanson Multi-Purpose Indoor & Outdoor Waterproof Tray, 30"" X 15"", Black",0,8.46,8.99,0,HomeDepot,0.9410456062291436,0.5299999999999994
x046500702617,0,Raid Max Ant & Roach Aerosol Spray 14.50 oz (Pack of 3),Raid Max Ant - Roach Aerosol Spray 14.50 oz,0,27.71,36.31,HomeDepot,0.7631506472046268,8.600000000000001
x084369008303,0,Miller Manufacturing Aluminum Trough-O-Matic Float Valve,"VALV FLOAT ALUMN 375GPH, Miller Manufacturing* 466009, UPC: 084369008303",0,21.44,30.34,HomeDepot,0.7066578773895847,8.899999999999999
x0891946001226,NINESTARS 13.2 Gal. Sensor Trash Can/Recycler Infrared Touchless Automatic Motion Sensor Lid,"Nine Stars Motion Sensor Oval Touchless 13.2 Gal Recycle Trash Can, Stainless Steel with Stainless Steel Lid",13.2 Gal. Sensor Trash Can/Recycler Infrared Touchless Automatic Motion Sensor,72.59,72.59,85.36,HomeDepot,1.0,0.0
x0009375710057,Tribest Greenstar Elite Jumbo Twin Gear Masticating Juicer in Chrome,Green Star Elite Twin Gear Juicer CHROME GSE-5050,0,599.95,579.95,0,Walmart,0.9666638886573882,20.0
x0815236014833,Alpine Industries White 110-Volt/120-Volt Hazel Automatic Electric Hand Dryer,Alpine Industries Hazel 120 Volt Hand Dryer in White,"ALPINE Hazel Hand Dryer 2000 Watts, High Speed, easy installation Plug in",39.99,40.95,47.8,HomeDepot,0.9765567765567765,0.9600000000000009
x083895125027,0,Fence Weave - Green,Pexco Fence Weave 300' of Material ~ Green FW250-GRN,0,40.52,41.77,HomeDepot,0.9700742159444578,1.25
x0700953164513,Terra Flame 8 in. Pure Gel Fuel by SunJel (24-Pack),Terra Flame Pure Gel Fuel by SunJel - 24 Pack,Pure Gel Fuel by SunJel,65.99,78.99,76.04,HomeDepot,0.8678327196212519,10.050000000000011
x0607972034752,0,B350-XT 203475 BlueParrott Noise Canceling Bluetooth Headset,0,0,99.99,0,HomeDepot,0,-99.99
x0697285601932,SharkBite 1/2 in. Stainless Steel PEX Clamp (10-Pack),"Cash Acme 10 Pack 1/2"" Cinch Clamps UC953A","Shark Bite UC953A 1/2"" PEX Clamp Ring 10 Pack",5.01,7.01,12.0,HomeDepot,0.7146932952924394,2.0
x0086279116710,Cuisinart Air Fryer Toaster Oven Brushed Stainless,Cuisinart Toaster Oven Broilers Air Fryer Toaster Oven,Cuisinart TOA-60 Air Fryer Toaster Oven - Stainless Steel,198.99,199.00,209.41,HomeDepot,0.9999497487437187,0.009999999999990905
x0790272982011,BARSKA Colorado 20-60x60 Hunting/Nature Viewing Spotting Scope,"Barska 20-60 x 60 WP Colorado Angled Spotting Scope, CO11502",0,77.00,86.99,0,HomeDepot,0.8851592137027245,9.989999999999995
x0781968002472,Scientific Explorer Magic Science for Wizards Only Kit,Scientific Explorer Magic Science for Wizards Only Kit,Scientific Explorer Slinky Magic Science for Wizards Only Kit POOF 9 Activities,21.59,14.38,23.63,Walmart,0.666049096804076,7.209999999999999
x0020572034180,Channel Master 8-Port Ultra Mini Distribution Amplifier TV Signal Booster and Splitter,0,Channel Master Distribution Amplifier (CM-3418),44.99,0,74.01,HomeDepot,0.6078908255641129,29.020000000000003
x0023601018090,Carex Health Brands Carex Walker Ski Glides,Carex Walker Ski Glide,Carex Walker Ski Glide A809-00 2 Each (Pack of 7),14.56,6.48,32.31,Walmart,0.4450549450549451,8.08
x0633955562516,Graco Magnum Project Painter Plus Paint Sprayer,"GRACO 257025 Airless Paint Sprayer,.24 gpm, 2800 psi G3786408",NEW GRACO 257025 MAGNUM PROJECT PAINTER PLUS AIRLESS 2.5 GALLON PAINT SPRAYER,239.00,239.00,248.33,HomeDepot,1.0,0.0
x0735078025609,0,"VTech CS6609 Accessory Handset for VTech CS6619, CS6629, CS6648 or CS6649, Silver/Black","VTech DECT 6.0 CS6609 Accessory Handset CS6619, CS6629, CS6648 or CS6649",0,16.68,18.22,HomeDepot,0.9154774972557629,1.5399999999999991
x039800016362,0,Energizer AA Rechargeable Battery 2300mAh NH15BP-4,NEW 4/pack AA Energizer Rechargeable NiMH Batteries AA4 Recharge 2300mAh,0,11.88,26.81,HomeDepot,0.44311823946288703,14.929999999999998
x0821614069586,Stonebriar Collection Long Burning Tealight Candles (200-Pack),"Stonebriar Collection Unscented Tea Light Candles, 200 Pack","NEW LISTINGStonebriar Collection Long Burning Tealight Candles - Set of 200, White",22.64,21.98,26.39,Walmart,0.9708480565371025,0.6600000000000001
x0885609001999,0,"Dyson Ball Multifloor Bagless Canister Vacuum, 205779-01",Dyson DC39 Origin Canister Vacuum | Yellow READ!,0,328.00,286.32,Walmart,0.8729268292682927,41.68000000000001
x0890428001600,ShelterIT 4 ft. Heavy-Duty Firewood Log Rack with Cover,EZ Goal Portable Folding Regulation Size Hockey Training Goal Net with Backstop,EZGoal 10' x 6' Steel Folding Hockey Goal with Backstop & Targets 67008,127.65,103.93,133.44,Walmart,0.8141793967880925,23.72
x0838780001036,GP 1/2 in. Drive SAE/Metric Combo Hex Driver Set (18-Piece),"18 PC 1/2"" DR COMBO HEX DRIVER SAE/METRIC SET","Grey Pneumatic 1598HC 1/2"" Drive SAE and Metric Impact Hex Driver Socket Set",113.22,118.50,127.55,HomeDepot,0.9554430379746836,5.280000000000001
x0723755565128,Motorola CLS 1-Watt 1-Channel UHF Business Radio,Motorola 2-Way Radio,Motorola CLS 1110 2 way business Radio with Headset (Brand New),158.98,159.00,713.58,HomeDepot,0.9998742138364779,0.020000000000010232
x0843221003074,KNIPEX Heavy Duty Forged Steel 12 in. Alligator Pliers with 61 HRC Teeth,"KNIPEX Tools 88 01 300, 12-Inch Alligator Pliers",Knipex 8801300 Alligator Pliers,31.03,31.03,48.92,HomeDepot,1.0,0.0
x00753933184919,"New Husky Liners Front Floor Liners Fits 15-18 Fit, 16-18 HR-V","Husky Liners Front Floor Liners Fits 15-18 Fit, 16-18 HR-V",Husky Liners 18491 Black WeatherBeater Front Floor Liners for Honda Fit/HR-V,107.95,97.15,112.04,Walmart,0.8999536822603057,10.799999999999997
x0838810017594,"simplehuman 16 Gal. Custom Fit Trash Can Liner, Code P (60-Count) (3-Packs of 20 Liners)","simplehuman 3 x 20pk (60 liners), code P custom fit liners - 50-60 l / 13-16 gal",0,26.99,27.00,0,HomeDepot,0.9996296296296295,0.010000000000001563
x0887530005336,Mind Reader Clutch 6 Drawer Tea Bag Holder in White,"Mind Reader 6 Removable Drawers Tea Bag Holder Organizer, White",Tea Bag Storage Box Display Organizer Condiment Chest Holder Compartment White,9.99,9.99,12.62,HomeDepot,1.0,0.0
x0815898022238,0,0,"GoFloats Flamingo Jr Pool Float Party Tube, Stylish Floating for Kids",0,0,23.81,HomeDepot,0,-23.81
x014381002898,Zamma Tea Cork 3/8 in. Thick x 1-3/4 in. Wide x 94 in. Length Hardwood Multi-Purpose Reducer Molding,JOURNEY HOME,Journey Home 014381002898 (DVD Used Very Good),39.99,8.77,13.25,Walmart,0.6618867924528301,4.48
x0753759178697,Garmin Dash Cam 45,Garmin Dash Cam 45,Garmin - Dash Cam 45 - Black - Brand New,149.99,128.99,239.99,Walmart,0.859990666044403,21.0
x053891101950,0,"FoodSaver Vacuum Sealer Rolls, Freezer, 8""x20', 2 Ct","FoodSaver 2 Rolls 8"" x 20' Vacuum Seal Rolls- NEW IN BOXES-- LOT OF 2",0,27.15,35.95,HomeDepot,0.7552155771905423,8.800000000000004
x077027003604,0,"Silicone I Sealant, 2.8 oz, Clear GE GE360","GE GE360 Silicone I Kitchen & Bath Caulk, Clear, 2.8 Oz",0,3.18,13.54,HomeDepot,0.23485967503692765,10.36
x075967903626,VELCRO Brand 1-7/8 in. Industrial Strength Black Coins (4-Pack),"VELCRO® Brand Industrial Strength 1 7/8in Circles, Black - 4 ct.",0,3.47,4.90,0,HomeDepot,0.7081632653061224,1.4300000000000002
x0878253000784,0,"Power Probe III Test Light and Voltmeter, Red",0,0,85.00,0,HomeDepot,0,-85.0
x0648846003917,Exclusive RIDGID 12 Gal. 5.0-Peak HP Wet/Dry Vacuum,0,Ridgid Wd1270 Shop Vac Vacuum,84.97,0,92.64,HomeDepot,0.917206390328152,7.670000000000002
x00717604155509,0,0,"Blackstone 1555 2-Burner Tailgater Grill, 60000 BTU, Propane, Steel/Cast Iron",0,0,257.07,HomeDepot,0,-257.07
x0628311901009,Winters Instruments PET-LF 2.5 in. Lead-Free Brass Water Pressure Test Gauge with 3/4 in. Swivel Hose and Maximum Pointer and 0-160 psi/kPa,0,"Water Test Gauge, 2.5 in.,0 to 160 psi WINTERS PETW213LF",14.83,0,20.04,HomeDepot,0.7400199600798404,5.209999999999999
x000346246605,0,0,"Clay Spade 4-1/2"" x 17""L, SDS Max BOSCH HS1922",0,0,64.17,HomeDepot,0,-64.17
x0764271533611,Oggi Ceramic EZ Grip Handle Canister in White (Set of 4),Oggi Corporation 5336.1 White Ceramic EZ Grip Handle Canister Set 4 Count,Oggi Food Storage Containers - 6 Piece Set Ceramic Canisters,47.82,41.99,56.36,Walmart,0.8780844834797157,5.829999999999998
